name,institution,city,country
Manuel Herrera,"U Rey Juan Carlos, Madrid",Madrid,Spain
Celine la Cour,University of Copenhagen,Copenhagen,Denmark
Lucy Maycox,Oxford University,"Oxford, UK",United Kingdom
Steven Silva,"Universidad del Externado, Bogotá, Kolumbien","Bogotá, Columbia",Columbia
Shimaa El Sharkawy,"AFA, Ägypten, Doktorandin im VW-Projekt des PB IV, Kairo",Cairo,Egypt
Cecilia Ducci,Universität Bologna,Bologna,Italy
Luciana Jáuregui,"Autonomous National University, Mexico City",Mexico City,Mexico
Xie Peixuan,UNDP/Peking University,Beijing,China
Brian Rathbun,University of Southern California Dornsife/Los Angeles,"Los Angeles, CA",United States
Nadine Sika,American University in Cairo,Cairo,Egypt